"id","wrapper_id","session_id","init_args","timestamp"
"1","281472671032256","2dd9b0e8-cf3f-444e-88d7-1c729234a944","{""config_list"": [{""model"": ""gpt-4o-mini""}, {""model"": ""gpt-4""}, {""model"": ""gpt-3.5-turbo""}], ""base_config"": {""cache_seed"": 42, ""temperature"": 0, ""timeout"": 120}}","2025-03-17 15:18:22.106167"
"2","281472902653152","d4282279-80f3-4051-9cae-32911f2f38ac","{""config_list"": [{""model"": ""gpt-4o-mini""}, {""model"": ""gpt-4""}, {""model"": ""gpt-3.5-turbo""}], ""base_config"": {""cache_seed"": 42, ""temperature"": 0, ""timeout"": 120}}","2025-03-17 15:41:10.225427"
"3","281472435305168","7cffbb4e-0271-4fc0-8ae4-87ae3c7cb3c6","{""config_list"": [{""model"": ""gpt-4o-mini""}, {""model"": ""gpt-4""}, {""model"": ""gpt-3.5-turbo""}], ""base_config"": {""cache_seed"": 42, ""temperature"": 0, ""timeout"": 120}}","2025-03-17 16:11:32.190063"
"4","281472610161952","cece6657-f615-468f-b0f9-ace7cfaf1cf9","{""config_list"": [{""model"": ""gpt-4o-mini""}, {""model"": ""gpt-4""}, {""model"": ""gpt-3.5-turbo""}], ""base_config"": {""cache_seed"": 42, ""temperature"": 0, ""timeout"": 120}}","2025-03-17 16:31:53.262344"
"5","281472696286672","46df16cd-afbc-45f7-b325-fa4f427969b2","{""config_list"": [{""model"": ""gpt-4o-mini""}, {""model"": ""gpt-4""}, {""model"": ""gpt-3.5-turbo""}], ""base_config"": {""cache_seed"": 42, ""temperature"": 0, ""timeout"": 120}}","2025-03-17 17:02:30.958218"
"6","281472577122144","566738fe-3fe8-412f-b82d-3ebd6da5d3dd","{""config_list"": [{""model"": ""gpt-4o-mini""}, {""model"": ""gpt-4""}, {""model"": ""gpt-3.5-turbo""}], ""base_config"": {""cache_seed"": 42, ""temperature"": 0, ""timeout"": 120}}","2025-03-17 17:31:59.782090"
"7","281472883904336","8fe55b6b-4b6b-401c-a225-220b79dc8311","{""config_list"": [{""model"": ""gpt-4o-mini""}, {""model"": ""gpt-4""}, {""model"": ""gpt-3.5-turbo""}], ""base_config"": {""cache_seed"": 42, ""temperature"": 0, ""timeout"": 120}}","2025-03-17 17:50:57.268685"
"8","281471932572560","940b60b4-2d70-4073-8df2-2d74dbee7d66","{""config_list"": [{""model"": ""gpt-4o-mini""}, {""model"": ""gpt-4""}, {""model"": ""gpt-3.5-turbo""}], ""base_config"": {""cache_seed"": 42, ""temperature"": 0, ""timeout"": 120}}","2025-03-17 19:03:51.014055"
"9","281472435574480","f0b7fe9b-d13c-45fe-bdd2-ea68e35c2955","{""config_list"": [{""model"": ""gpt-4o-mini""}, {""model"": ""gpt-4""}, {""model"": ""gpt-3.5-turbo""}], ""base_config"": {""cache_seed"": 42, ""temperature"": 0, ""timeout"": 120}}","2025-03-17 19:31:05.893381"
"10","281472250042112","3531365e-196f-46a5-ba50-ac7313f3903f","{""config_list"": [{""model"": ""gpt-4o-mini""}, {""model"": ""gpt-4""}, {""model"": ""gpt-3.5-turbo""}], ""base_config"": {""cache_seed"": 42, ""temperature"": 0, ""timeout"": 120}}","2025-03-17 20:09:26.176521"
"11","281472684360144","68c2177e-082b-4888-bd54-babbcfebe591","{""config_list"": [{""model"": ""gpt-4o-mini""}, {""model"": ""gpt-4""}, {""model"": ""gpt-3.5-turbo""}], ""base_config"": {""cache_seed"": 42, ""temperature"": 0, ""timeout"": 120}}","2025-03-17 20:32:14.342928"
"12","281472272042512","309354c3-ab13-4186-a1b4-7ea508513703","{""config_list"": [{""model"": ""gpt-4o-mini""}, {""model"": ""gpt-4""}, {""model"": ""gpt-3.5-turbo""}], ""base_config"": {""cache_seed"": 42, ""temperature"": 0, ""timeout"": 120}}","2025-03-18 10:43:22.419881"
"13","281472449187760","b08151f7-0710-46a1-a381-c0c40e3b733f","{""config_list"": [{""model"": ""gpt-4o-mini""}, {""model"": ""gpt-4""}, {""model"": ""gpt-3.5-turbo""}], ""base_config"": {""cache_seed"": 42, ""temperature"": 0, ""timeout"": 120}}","2025-03-18 11:13:53.348966"